义演	benefit
最后	last
擤鼻声	sniff
上院	senate
哺乳动物	mammal
（蟹等的）钳	claw
[天]流星群的辐射点	radiant
圈	loop
律师	attorney	lawyer
蓓蕾	bud
钢铁工业	steel
传奇色彩	romance
期望	hope	prospect
圆	circle	round
少许	trait	inch
包打听	busy
[口]果盖	lid
菜牛（饲养以供肉食的牛）	beef
便士	penny
荒芜	waste
中心	centre	core	nucleus
肤色	color
叹气声	sigh
出生	birth
复合词	compound
美质	quality
（自行车或摩托车的）车座	saddle
（数量、价格、价值等的）增长	rise
东南地区	southeast
违法	error
城市	city
灾祸	evil
讲座	chair
进行曲	march
云	cloud
短处	shortcoming
井	pit
五	five
[化学]碳	carbon
齿弓	arch
千克	kilo
列车	train
无知	simplicity
[乐]（风琴等的）白键	natural
棒	bar
〈英〉管家	husband
赞同	consent
罗盘	compass
御座	throne
棚	shed	shelf
罪孽	sin
一把	lock
疲劳	fatigue
棉	cotton
声势	impetus
人	being	bird	creature	dust	human	mind	people	person	soul
玻璃罩	shade
起义	revolt
策略	counsel	device	maneuver	policy	strategy	tactic
（枪炮	training
（群体中）最聪明的人	brain
[逻]整体	universe
托辞	plea	pretext	stall	disguise	excuse
重要的事物	queen
（任何）大圆	equator
外人	foreigner
宗教节日	feast
（期刊的）特辑	feature
棉织物	cotton
国际公约	convention
机械等的）一套	gang
不同的性有不同的词尾等）	gender
一条（块）面包	loaf
这儿	then
抽屉	drawer
部长	minister
首席	top
（欲表达的）一点感情	bubble
歧视	prejudice
边框	frame
专题论文集	symposium
高级职员	officer	official
反对的理由	objection
建立	constitution	establishment	foundation	institution
雷达	radar
语句	expression
希望	desire	hope	odds	pleasure	possibility	promise
分开	division
浸泡液	steep
腊肠	sausage
明确	definition	clarity
擦亮剂	polish
圆形物	round
[韵]格律	metre
嗅觉	nose	scent	smell
反对者	opponent
联邦主义者	federal
互相关联的事物	reciprocal
嗣子	heir
药学	pharmacy
流线	streamline
债权	mortgage
（计算机）文档	document
错杂	complication
因素	factor	ingredient
庇护者	refuge
原稿	manuscript
（平分球形物体的面的）圆	equator
乐事	treat
赤褐色	bronze
（用于缝纫的）丝线	silk
[物理学]谱	spectrum
热病	fever
复合材料	composite
迷惑	fog
〈美俚〉税务官	revenue
高涨	soar
<美>毕业生	graduate
