a			 K K
abandon			 K K
abdomen			 U N
abide			 N N
ability			 K K
able			 K K
abnormal			 K K
aboard			 K K
abolish			 K K
abound			 U U
about			 K K
above			 K K
abroad			 K K
abrupt			 K K
absence			 K K
absent			 K K
absolute			 K K
absorb			 N N
abstract			 K K
absurd			 N N
abundance			 U K
abundant			 U K
abuse			 K K
academic			 K K
academy			 K K
accelerate			 K K
accent			 N N
accept			 K K
acceptance			 K K
access			 K K
accessory			 K K
accident			 K K
accidental			 N N
acclaim			 N N
accommodate			 K K
accommodation			 K K
accompany			 K K
accomplish			 N N
accord			 K K
accordance			 K K
according-to			 K K
accordingly			 K K
account			 K K
accountant			 N N
accumulate			 K K
accuracy			 K K
accurate			 K K
accuse			 U K
accustomed			 K K
ache			 N N
achieve			 K K
acid			 K K
acknowledge			 N N
acquaint			 K K
acquaintance			 K K
acquire			 N N
acquisition			 N N
acre			 N N
acrobat			 N N
across			 N N
act			 K K
action			 K K
activate			 N N
active			 K K
activity			 K K
actor			 K K
actress			 K K
actual			 N N
acute			 N N
adapt			 K K
add			 K K
addict			 N N
addition			 K K
additional			 K K
address			 K K
adequate			 K K
adhere			 N N
adjacent			 K K
adjective			 N N
adjoin			 K K
adjust			 K K
administer			 K K
administration			 N N
admire			 K K
admission			 U U
admit			 K K
adolescent			 K K
adopt			 K K
adore			 U U
adult			 K K
advance			 K K
advanced			 N N
advantage			 K K
advent			 U K
adventure			 U K
adverb			 U U
adverse			 U N
advertise			 K K
advice			 K K
advisable			 U U
advise			 N N
advocate			 K K
aerial			 U K
aeroplane			 U U
aesthetic			 U U
affair			 U N
affect			 K K
affection			 K K
affiliate			 N N
affirm			 N N
affluent			 K K
afford			 K K
afraid			 K K
after			 K K
afternoon			 K K
afterward			 N N
again			 K K
against			 K K
age			 K K
agency			 K K
agenda			 K K
agent			 K K
aggravate			 K K
aggressive			 K K
agitate			 U U
ago			 K K
agony			 U K
agree			 K K
agreeable			 N N
agreement			 K K
agriculture			 K K
ahead			 K K
Aid			 U K
Aim			 U K
Air			 K K
air-conditioning			 K K
aircraft			 K K
airline			 K K
airport			 K K
Aisle			 U U
alarm			 K K
album			 K K
alcohol			 K K
Alert			 K K
Alien			 K K
Alike			 K K
Alive			 U N
All			 K K
allege			 N N
alleviate			 N N
alliance			 N N
allocate			 K K
Allow			 K K
allowance			 K K
Alloy			 K K
Ally			 K K
almost			 K K
alone			 K K
along			 K K
alongside			 K K
aloud			 N N
alphabet			 N N
already			 K K
Also			 K K
Alter			 K K
alternate			 N N
alternative			 K K
although			 N N
altitude			 K K
altogether			 U N
aluminum			 K K
always			 K K
amateur			 K K
amaze			 K K
ambassador			 K K
ambiguous			 K K
ambition			 K K
ambitious			 K K
ambulance			 K K
amend			 U U
amiable			 U U
Amid			 N N
among			 N N
amount			 K K
ample			 U U
amplifier			 K K
amplify			 K K
amuse			 K K
analogue			 N N
analogy			 N N
analyse			 K K
analysis			 K K
analytic			 K K
ancestor			 K K
anchor			 K K
ancient			 U N
and			 K K
anecdote			 U U
angel			 K K
anger			 K K
angle			 K K
angry			 K K
anguish			 U N
animal			 K K
ankle			 K K
anniversary			 K K
announce			 K K
annoy			 U U
annual			 K K
anonymous			 K K
another			 K K
answer			 K K
ant			 K K
antenna			 U U
anticipate			 K K
antique			 U U
anxiety			 K K
anxious			 K K
any			 K K
anybody			 K K
anyhow			 K K
anyone			 K K
anything			 K K
anyway			 K K
anywhere			 K K
apart			 N N
apartment			 K K
apologise			 K K
apology			 K K
appal			 U U
apparatus			 N N
apparent			 K K
appeal			 K K
appear			 K K
appearance			 K K
appendix			 N N
appetite			 K K
applaud			 N N
applause			 N N
apple			 K K
appliance			 N N
applicable			 N N
application			 N N
apply			 K K
appoint			 K K
appointment			 K K
appraisal			 N N
appreciate			 K K
approach			 K K
appropriate			 N N
NULL			 K K
approval			 N N
approve			 N N
approximate			 K K
April			 K K
apt			 U N
arbitrary			 N N
arch			 K K
architect			 K K
architecture			 K K
area			 K K
argue			 K K
argument			 K K
arise			 K K
arithmetic			 K K
arm			 K K
army			 K K
around			 K K
arouse			 K K
arrange			 K K
array			 K K
arrest			 K K
arrival			 K K
arrive			 K K
arrogant			 U U
arrow			 K K
art			 K K
artery			 K K
article			 K K
articulate			 U K
artificial			 U U
artist			 K K
artistic			 N N
as			 K K
ascend			 K K
ascertain			 K K
ash			 U U
ashamed			 N N
ashore			 U U
aside			 K K
ask			 K K
asleep			 K K
aspect			 K K
aspire			 U U
assassinate			 N N
assault			 K K
assemble			 K K
assembly			 K K
assert			 K K
assess			 N N
asset			 K K
assign			 K K
assignment			 K K
assimilate			 U U
assist			 U K
assistance			 K K
assistant			 K K
associate			 K K
association			 K K
assume			 K K
assumption			 K K
assurance			 N N
assure			 N N
astonish			 K K
astronaut			 K K
astronomy			 N N
at			 K K
athlete			 K K
atmosphere			 K K
atom			 K K
attach			 K K
attack			 K K
attain			 N N
attempt			 K K
attend			 K K
attendance			 K K
attendant			 K K
attention			 K K
attitude			 K K
attorney			 K K
attract			 K K
attractive			 K K
attribute			 K K
auction			 N N
audience			 K K
audio			 K K
audit			 U N
auditorium			 U U
augment			 K K
August			 K K
aunt			 K K
aural			 U U
authentic			 U U
author			 K K
authority			 K K
auto			 K K
automatic			 K K
automation			 U N
autonomy			 U N
autumn			 K K
auxiliary			 N N
avail			 K K
available			 K K
avenue			 K K
average			 K K
avert			 U U
aviation			 U K
avoid			 K K
await			 N N
awake			 K K
award			 U N
aware			 U K
away			 K K
awe			 U N
awful			 K K
awkward			 U N
axe			 K K
axis			 N N
baby			 K K
bachelor			 K K
back			 K K
background			 K K
backward			 K K
bacon			 K K
bacterium			 N N
bad			 K K
badge			 U U
badly			 K K
badminton			 K K
bag			 K K
baggage			 U K
bait			 U U
bake			 N N
balance			 K K
balcony			 U U
bald			 U U
ball			 K K
ballet			 K K
balloon			 K K
ballot			 U U
ban			 K K
banana			 K K
band			 K K
bandage			 K K
bang			 K K
bank			 K K
bankrupt			 K K
banner			 K K
banquet			 K K
bar			 K K
barbecue			 U N
barber			 U N
bare			 U N
barely			 U N
bargain			 K K
bark			 K K
barn			 K K
barrel			 K K
barren			 K K
barrier			 K K
base			 K K
baseball			 K K
basement			 K K
basic			 K K
basin			 U U
basis			 K K
basket			 K K
basketball			 K K
bat			 K K
batch			 K K
bath			 K K
bathe			 K K
bathroom			 K K
battery			 K K
battle			 K K
bay			 K K
be			 K K
beach			 N N
beam			 K K
bean			 K K
bear			 N N
beard			 K K
bearing			 U N
beast			 K K
beat			 K K
beautiful			 K K
beauty			 K K
because			 K K
become			 K K
bed			 K K
bee			 K K
beef			 K K
beer			 K K
before			 K K
beforehand			 K K
beg			 K K
begin			 K K
beginning			 K K
behalf			 K K
behave			 U U
behavior			 K K
behind			 K K
being			 K K
belief			 K K
believe			 K K
bell			 K K
belly			 K K
belong			 K K
beloved			 K K
below			 K K
belt			 U K
bench			 K K
bend			 K K
beneath			 K K
beneficial			 K K
benefit			 K K
benign			 K K
beside			 K K
besides			 U N
best			 K K
bet			 U N
betray			 K K
better			 K K
between			 K K
beverage			 K K
beware			 K K
bewilder			 N N
beyond			 K K
bias			 K K
Bible			 K K
bibliography			 K K
bicycle			 K K
