a			 K K K K
abandon			 K K K K
abdomen			 U N N N
abide			 N N N N
ability			 K K K K
able			 K K K K
abnormal			 K K K K
aboard			 K K K K
abolish			 K K K K
abound			 U U U N
about			 K K K K
above			 K K K K
abroad			 K K K K
abrupt			 K K K K
absence			 K K K K
absent			 K K K K
absolute			 K K K K
absorb			 N N N N
abstract			 K K K K
absurd			 N N N N
abundance			 U K K K
abundant			 U K K K
abuse			 K K K K
academic			 K K K K
academy			 K K K K
accelerate			 K K K K
accent			 N N N N
accept			 K K K K
acceptance			 K K K K
access			 K K K K
accessory			 K K K K
accident			 K K K K
accidental			 N N N N
acclaim			 N N N N
accommodate			 K K K K
accommodation			 K K K K
accompany			 K K K K
accomplish			 N N N N
accord			 K K K K
accordance			 K K K K
according-to			 K K K K
accordingly			 K K K K
account			 K K K K
accountant			 N N N N
accumulate			 K K K K
accuracy			 K K K K
accurate			 K K K K
accuse			 U K K K
accustomed			 K K K K
ache			 N N N N
achieve			 K K K K
acid			 K K K K
acknowledge			 N N N N
acquaint			 K K K K
acquaintance			 K K K K
acquire			 N N N N
acquisition			 N N N N
acre			 N N N N
acrobat			 N N N N
across			 N N N N
act			 K K K K
action			 K K K K
activate			 N N N N
active			 K K K K
activity			 K K K K
actor			 K K K K
actress			 K K K K
actual			 N N N N
acute			 N N N N
adapt			 K K K K
add			 K K K K
addict			 N N N N
addition			 K K K K
additional			 K K K K
address			 K K K K
adequate			 K K K K
adhere			 N N N N
adjacent			 K K K K
adjective			 N N N N
adjoin			 K K K K
adjust			 K K K K
administer			 K K K K
administration			 N N N N
admire			 K K K K
admission			 U U U N
admit			 K K K K
adolescent			 K K K K
adopt			 K K K K
adore			 U U N N
adult			 K K K K
advance			 K K K K
advanced			 N N N N
advantage			 K K K K
advent			 U K K K
adventure			 U K K K
adverb			 U U U U
adverse			 U N N N
advertise			 K K K K
advice			 K K K K
advisable			 U U N N
advise			 N N N N
advocate			 K K K K
aerial			 U K K K
aeroplane			 U U N N
aesthetic			 U U N N
affair			 U N N N
affect			 K K K K
affection			 K K K K
affiliate			 N N N N
affirm			 N N N N
affluent			 K K K K
afford			 K K K K
afraid			 K K K K
after			 K K K K
afternoon			 K K K K
afterward			 N N N N
again			 K K K K
against			 K K K K
age			 K K K K
agency			 K K K K
agenda			 K K K K
agent			 K K K K
aggravate			 K K K K
aggressive			 K K K K
agitate			 U U U U
ago			 K K K K
agony			 U K K K
agree			 K K K K
agreeable			 N N N N
agreement			 K K K K
agriculture			 K K K K
ahead			 K K K K
Aid			 U K K K
Aim			 U K K K
Air			 K K K K
air-conditioning			 K K K K
aircraft			 K K K K
airline			 K K K K
airport			 K K K K
Aisle			 U U U U
alarm			 K K K K
album			 K K K K
alcohol			 K K K K
Alert			 K K K K
Alien			 K K K K
Alike			 K K K K
Alive			 U N N N
All			 K K K K
allege			 N N N N
alleviate			 N N N N
alliance			 N N N N
allocate			 K K K K
Allow			 K K K K
allowance			 K K K K
Alloy			 K K K K
Ally			 K K K K
almost			 K K K K
alone			 K K K K
along			 K K K K
alongside			 K K K K
aloud			 N N N N
alphabet			 N N N N
already			 K K K K
Also			 K K K K
Alter			 K K K K
alternate			 N N N N
alternative			 K K K K
although			 N N N N
altitude			 K K K K
altogether			 U N N N
aluminum			 K K K K
always			 K K K K
amateur			 K K K K
amaze			 K K K K
ambassador			 K K K K
ambiguous			 K K K K
ambition			 K K K K
ambitious			 K K K K
ambulance			 K K K K
amend			 U U N N
amiable			 U U N N
Amid			 N N N N
among			 N N N N
amount			 K K K K
ample			 U U N N
amplifier			 K K K K
amplify			 K K K K
amuse			 K K K K
analogue			 N N N N
analogy			 N N N N
analyse			 K K K K
analysis			 K K K K
analytic			 K K K K
ancestor			 K K K K
anchor			 K K K K
ancient			 U N N N
and			 K K K K
anecdote			 U U N N
angel			 K K K K
anger			 K K K K
angle			 K K K K
angry			 K K K K
anguish			 U N N N
animal			 K K K K
ankle			 K K K K
anniversary			 K K K K
announce			 K K K K
annoy			 U U U U
annual			 K K K K
anonymous			 K K K K
another			 K K K K
answer			 K K K K
ant			 K K K K
antenna			 U U N N
anticipate			 K K K K
antique			 U U U N
anxiety			 K K K K
anxious			 K K K K
any			 K K K K
anybody			 K K K K
anyhow			 K K K K
anyone			 K K K K
anything			 K K K K
anyway			 K K K K
anywhere			 K K K K
apart			 N N N N
apartment			 K K K K
apologise			 K K K K
apology			 K K K K
appal			 U U U N
apparatus			 N N N N
apparent			 K K K K
appeal			 K K K K
appear			 K K K K
appearance			 K K K K
appendix			 N N N N
appetite			 K K K K
applaud			 N N N N
applause			 N N N N
apple			 K K K K
appliance			 N N N N
applicable			 N N N N
application			 N N N N
apply			 K K K K
appoint			 K K K K
appointment			 K K K K
appraisal			 N N N N
appreciate			 K K K K
approach			 K K K K
appropriate			 N N N N
NULL			 K K K K
approval			 N N N N
approve			 N N N N
approximate			 K K K K
April			 K K K K
apt			 U N N N
arbitrary			 N N N N
arch			 K K K K
architect			 K K K K
architecture			 K K K K
area			 K K K K
argue			 K K K K
argument			 K K K K
arise			 K K K K
arithmetic			 K K K K
arm			 K K K K
army			 K K K K
around			 K K K K
arouse			 K K K K
arrange			 K K K K
array			 K K K K
arrest			 K K K K
arrival			 K K K K
arrive			 K K K K
arrogant			 U U N N
arrow			 K K K K
art			 K K K K
artery			 K K K K
article			 K K K K
articulate			 U K K K
artificial			 U U N N
artist			 K K K K
artistic			 N N N N
as			 K K K K
ascend			 K K K K
ascertain			 K K K K
ash			 U U U U
ashamed			 N N N N
ashore			 U U N N
aside			 K K K K
ask			 K K K K
asleep			 K K K K
aspect			 K K K K
aspire			 U U U U
assassinate			 N N N N
assault			 K K K K
assemble			 K K K K
assembly			 K K K K
assert			 K K K K
assess			 N N N N
asset			 K K K K
assign			 K K K K
assignment			 K K K K
assimilate			 U U U U
assist			 U K K K
assistance			 K K K K
assistant			 K K K K
associate			 K K K K
association			 K K K K
assume			 K K K K
assumption			 K K K K
assurance			 N N N N
assure			 N N N N
astonish			 K K K K
astronaut			 K K K K
astronomy			 N N N N
at			 K K K K
athlete			 K K K K
atmosphere			 K K K K
atom			 K K K K
attach			 K K K K
attack			 K K K K
attain			 N N N N
attempt			 K K K K
attend			 K K K K
attendance			 K K K K
attendant			 K K K K
attention			 K K K K
attitude			 K K K K
attorney			 K K K K
attract			 K K K K
attractive			 K K K K
attribute			 K K K K
auction			 N N N N
audience			 K K K K
audio			 K K K K
audit			 U N N N
auditorium			 U U N N
augment			 K K K K
August			 K K K K
aunt			 K K K K
aural			 U U N N
authentic			 U U N N
author			 K K K K
authority			 K K K K
auto			 K K K K
automatic			 K K K K
automation			 U N N N
autonomy			 U N N N
autumn			 K K K K
auxiliary			 N N N N
avail			 K K K K
available			 K K K K
avenue			 K K K K
average			 K K K K
avert			 U U U N
aviation			 U K K K
avoid			 K K K K
await			 N N N N
awake			 K K K K
award			 U N N N
aware			 U K K K
away			 K K K K
awe			 U N N N
awful			 K K K K
awkward			 U N N N
axe			 K K K K
axis			 N N N N
baby			 K K K K
bachelor			 K K K K
back			 K K K K
background			 K K K K
backward			 K K K K
bacon			 K K K K
bacterium			 N N N N
bad			 K K K K
badge			 U U N N
badly			 K K K K
badminton			 K K K K
bag			 K K K K
baggage			 U K K K
bait			 U U N N
bake			 N N N N
balance			 K K K K
balcony			 U U U U
bald			 U U N N
ball			 K K K K
ballet			 K K K K
balloon			 K K K K
ballot			 U U N N
ban			 K K K K
banana			 K K K K
band			 K K K K
bandage			 K K K K
bang			 K K K K
bank			 K K K K
bankrupt			 K K K K
banner			 K K K K
banquet			 K K K K
bar			 K K K K
barbecue			 U N N N
barber			 U N N N
bare			 U N N N
barely			 U N N N
bargain			 K K K K
bark			 K K K K
barn			 K K K K
barrel			 K K K K
barren			 K K K K
barrier			 K K K K
base			 K K K K
baseball			 K K K K
basement			 K K K K
basic			 K K K K
basin			 U U U U
basis			 K K K K
basket			 K K K K
basketball			 K K K K
bat			 K K K K
batch			 K K K K
bath			 K K K K
bathe			 K K K K
bathroom			 K K K K
battery			 K K K K
battle			 K K K K
bay			 K K K K
be			 K K K K
beach			 N N N N
beam			 K K K K
bean			 K K K K
bear			 N N N N
beard			 K K K K
bearing			 U N N N
beast			 K K K K
beat			 K K K K
beautiful			 K K K K
beauty			 K K K K
because			 K K K K
become			 K K K K
bed			 K K K K
bee			 K K K K
beef			 K K K K
beer			 K K K K
before			 K K K K
beforehand			 K K K K
beg			 K K K K
begin			 K K K K
beginning			 K K K K
behalf			 K K K K
behave			 U U N N
behavior			 K K K K
behind			 K K K K
being			 K K K K
belief			 K K K K
believe			 K K K K
bell			 K K K K
belly			 K K K K
belong			 K K K K
beloved			 K K K K
below			 K K K K
belt			 U K K K
bench			 K K K K
bend			 K K K K
beneath			 K K K K
beneficial			 K K K K
benefit			 K K K K
benign			 K K K K
beside			 K K K K
besides			 U N N N
best			 K K K K
bet			 U N N N
betray			 K K K K
better			 K K K K
between			 K K K K
beverage			 K K K K
beware			 K K K K
bewilder			 N N N N
beyond			 K K K K
bias			 K K K K
Bible			 K K K K
bibliography			 K K K K
bicycle			 K K K K
bid			 K K K K
big			 K K K K
bill			 K K K K
billion			 K K K K
bin			 K K K K
bind			 K K K K
biography			 K K K K
biology			 K K K K
bird			 K K K K
birth			 K K K K
birthday			 K K K K
biscuit			 U U U U
bite			 K K K K
bitter			 U U U N
bizarre			 N N N N
black			 K K K K
blackboard			 K K K K
blackmail			 K K K K
blade			 K K K K
NULL			 K K K K
blame			 U N N N
blank			 K K K K
blanket			 N N N N
blast			 U N N N
blaze			 K K K K
bleak			 N N N N
bleed			 K K K K
blend			 K K K K
bless			 N N N N
blind			 K K K K
block			 K K K K
blood			 K K K K
bloody			 K K K K
bloom			 K K K K
blossom			 K K K K
blouse			 K K K K
blow			 N N N N
blue			 K K K K
blueprint			 K K K K
blunder			 U U U U
blunt			 K K K K
blur			 N N N N
blush			 N N N N
board			 N N N N
boast			 K K K K
boat			 K K K K
body			 K K K K
boil			 U U U U
bold			 K K K K
bolt			 K K K K
bomb			 K K K K
bond			 K K K K
bone			 N N N N
bonus			 K K K K
book			 K K K K
boom			 U U N N
boost			 K K K K
boot			 K K K K
booth			 K K K K
border			 K K K K
bore			 K K K K
born			 K K K K
borrow			 K K K K
bosom			 K K K K
boss			 K K K K
both			 K K K K
bother			 N N N N
bottle			 K K K K
bottom			 K K K K
bounce			 K K K K
bound			 K K K K
boundary			 K K K K
bow			 K K K K
bowel			 U N N N
bowl			 U N N N
bowling			 U K K K
box			 K K K K
boy			 K K K K
boycott			 K K K K
brace			 K K K K
bracket			 U N N N
brain			 K K K K
brake			 N N N N
branch			 K K K K
brand			 K K K K
brandy			 K K K K
brass			 U U U U
brave			 K K K K
breach			 U U U N
bread			 U K K K
breadth			 K K K K
break			 K K K K
breakdown			 K K K K
breakfast			 K K K K
breast			 U U N N
breath			 K K K K
breathe			 K K K K
breed			 U U N N
breeze			 K K K K
bribe			 U U U U
brick			 K K K K
bride			 U K K K
bridge			 K K K K
brief			 U K K K
briefcase			 K K K K
bright			 K K K K
brilliant			 K K K K
brim			 U N N N
bring			 K K K K
brisk			 U U U U
brittle			 U U N N
broad			 K K K K
broadcast			 K K K K
brochure			 U U N N
bronze			 U U N N
brook			 U N N N
broom			 U U U U
brother			 K K K K
brow			 U U U N
brown			 U N N N
browse			 U N N N
bruise			 U U N N
brush			 K K K K
brutal			 N N N N
bubble			 K K K K
bucket			 N N N N
bud			 U U U U
budget			 K K K K
buffet			 U U N N
bug			 K K K K
build			 K K K K
building			 K K K K
bulb			 U U U U
bulk			 U N N N
bull			 U N N N
bullet			 K K K K
bulletin			 U U N N
bully			 U U U U
bump			 U N N N
bunch			 K K K K
bundle			 K K K K
burden			 K K K K
bureau			 K K K K
bureaucracy			 K K K K
burglar			 U U N N
burn			 K K K K
burst			 U U N N
bury			 U U U U
bus			 K K K K
bush			 U U N N
business			 K K K K
busy			 K K K K
but			 K K K K
butcher			 U N N N
butter			 K K K K
