abdomen	n.腹，下腹(胸部到腿部的部分)
abound	vi.大量存在；(in，with)充满，富于
abundance	n.丰富，充裕，大量
abundant	a.大量(充足)的；(in)丰富(富裕)的
accuse	vt.控告，指责 vi.指控，指责
admission	n.允许进入；承认；入场费，入会费，入场券
adore	vt.崇拜,敬慕,爱慕；非常喜欢
advent	n.(重要事件等的)到来，来临
adventure	n.冒险，冒险活动，奇遇 vt.大胆进行
adverb	n.副词 a.副词的
adverse	a.逆的，相反的；敌对的；不利的；有害的
advisable	a.可取的，适当的，明智的
aerial	a.(在或来自)空中的，航空的 n.天线
aeroplane	n.(airplane)(英)飞机
aesthetic	a.(esthetic)美学的，艺术的；审美的
affair	n.[pl.]事务；事情(件)；(个人的)事
agitate	v.摇动(液体)；使焦虑不安；困扰；鼓动
agony	n.(精神或肉体的)极大痛苦，创伤
Aid	n.援助，救护；助手，辅助物 vi.援助，救援
Aim	n.目的；瞄准 vi.(at)目的在于 vt.把…瞄准
Aisle	n.(教堂、教室、戏院等里的)过道，通道
Alive	a.活着的；存在的；活跃的；(to)敏感的
altogether	ad.完全，总之，全部地；总共；总而言之
amend	vt.修改，修订，改进
amiable	a.和蔼可亲的，友善的，亲切的
ample	a.充分的，富裕的；宽敞的，宽大的
ancient	a.古代的，古老的，古式的
anecdote	n.轶事，趣闻，短故事
anguish	n.(尤指心灵上的)极度痛苦，烦恼
annoy	vt.使恼怒，使生气；打扰 vi.招人讨厌
antenna	n.(无线电或电视的)天线
antique	a.古式的，过时的　n.有价值的古物，古董
appal	v.使惊骇，使恐怖
apt	a.恰当的，适当的；易于…的，有…倾向的
arrogant	a.傲慢的，自大的
articulate	a.善于表达的；有关节相连的 v.清楚地讲话
artificial	a.人工的，人造的，人为的；虚伪的，做作的
ash	n.灰，灰末；(pl.)骨灰；(pl.)废墟
ashore	ad.上岸；在岸上，向岸上
aspire	vi.(to，after)渴望，追求，有志于
assimilate	vt.吸收，消化；使同化 vi.被吸收；被同化
assist	vt.协助，帮助，促进 vi.帮忙，参加
audit	v.审计；查帐；核对；旁听
auditorium	n.观众席，听众席；会堂，礼堂
aural	a.听觉的，听力的
authentic	a.真的，真正的；可靠的，可信的，有根据的
automation	n.自动，自动化，自动操作
autonomy	n.自治，自治权；
avert	v.防止，避免 ；转移(目光、注意力等)
aviation	n.航空，航空学；飞机制造业
award	vt.授予,给予；判定 n.奖,奖金；仲裁
aware	a.知道的，意识到的；
awe	n.敬畏，惊惧vt.使敬畏，使惊惧
awkward	a.笨拙的；尴尬的；使用不便的；难处理的
badge	n.徽章,像章；标记；象征；记号
baggage	n.行李
bait	n.饵，引诱物 vt.用饵引诱；折磨，奚落
balcony	n.阳台；(电影院等的)楼厅，楼座
bald	a.秃的,秃头的
ballot	n.(不记名)投票；投票总数；投票权 vi.投票
barbecue	n.烤肉；烤肉用的台架 vt.炙烤(肉等)
barber	n.理发师
bare	a.赤裸的,空的;稀少的,仅有的 v.露出,暴露
barely	ad.赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有
basin	n.盆,脸盆;内海,盆地
bearing	n.轴承；忍受；关系，影响；举止；方向
behave	v.举止,举动,表现;运转,开动
belt	n.(皮)带,腰带;地带
besides	ad.此外；并且 prep.于…之外；除…以外
bet	v.赌,打赌 n.打赌,赌注
biscuit	n.饼干,点心
bitter	a.(有)苦(味)的;痛苦的,厉害的
blame	v.责备;怪,把…归咎于 n.责任,过错;责备
blast	n.一阵(风);爆炸冲击波;管乐器声 v.爆炸
blunder	v.(因无知等而)犯大错;踉踉跄跄地走 n.大错
boil	v.(使)沸腾,煮(沸)
boom	v.迅速发展,兴旺;发出隆隆声
bowel	n.肠；［pl.］内部，深处
bowl	n.碗(状物),钵
bowling	n.保龄球运动
bracket	n.(方)括号
brass	n.黄铜,铜器
breach	n.违反，不履行；破裂 vt.冲破，攻破
bread	n.面包
breast	n.胸膛,乳房
breed	v.(使)繁殖,生殖;产生;教养,抚养 n.品种
bribe	n.贿赂 v.向…行贿,买通
bride	n.新娘
brief	a.简短的,简洁的 v.简短介绍,简要汇报
brim	n.边缘,帽沿
brisk	a.轻快的;生气勃勃的;兴隆的
brittle	a.易碎的；脆弱的；冷淡的；(声音)尖利的
brochure	n.小册子
bronze	n.青铜；青铜色，古铜色；青铜制品，铜牌
brook	n.小溪vt.[常用于否定句或疑问句]容忍
broom	n.扫帚
brow	n.眉(毛);额
brown	n./a.褐色(的),棕色(的)
browse	vi.随意翻阅，浏览；(牛、羊等)吃草
bruise	n.青肿，挫伤；伤痕vt.打青；挫伤
bud	n.芽,花苞 v.发芽,含苞欲放
buffet	n.自助餐
bulb	n.灯泡,球状物
bulk	n.体积,容积;主体,大批,大量,大块
bull	n.公牛
bulletin	n.公报,公告,告示
bully	n.恃强欺弱者，小流氓 vt.威胁，欺侮
bump	v.(against,into)碰;颠簸着前进 n.碰撞
burglar	n.(入室行窃的)盗贼
burst	v.爆裂,炸破;突然发生 n.突然破裂,爆发
bury	v.埋(葬),安葬;埋藏,遮盖
bush	n.灌木(丛)
butcher	n.屠夫,卖肉者
cab	n.出租车，出租马车；驾驶室 vi.乘出租马车
cabbage	n.洋白菜,卷心菜
cafeteria	n.自助食堂
cage	n.鸟笼
calcium	n.钙(化学符号Ca)
camera	n.照相机,摄影机
camp	n.野营,营地;帐篷,阵营 v.设营,宿营
campus	n.(大学)校园
canal	n.运河;(沟)渠
candle	n.蜡烛
canoe	n.独木舟,小游艇
canteen	n.(工厂、办公室等)食堂或小卖部
cape	n.海角，岬；披肩，短披风
captain	n.首领,队长;船长;上尉 v.做…的首领,指挥
captive	n.俘虏 a.被俘虏的,被监禁的
carbohydrate	n.碳水化合物; 糖类；(plural)淀粉质或糖类
carbon	n.碳
cardinal	n.(天主教的)红衣主教 a.首要的，基本的
carpet	n.地毯
cater	vi.(for/to)满足,迎合;(for)提供饮食及服务
cathedral	n.大教堂
Catholic	a.天主教的 n.天主教徒
cement	n.水泥;胶泥,胶接剂 v.胶合;巩固,加强
cemetery	n.坟墓，墓地，坟场
census	n.人口普查(调查)
cent	n.分(币);百 per cent百分之
cereal	n.加工而成的谷类食物；谷类植物，谷物
chalk	n.粉笔,白垩
chamber	n.房间，室；会议室；议院；(动物体内)腔室
chancellor	n.(英)大臣；法官；(德、奥)总理；大学校长
chap	n./v.(皮肤)变粗糙；发痛；n.小伙子
charter	v.租船,租车,租用飞机；n.宪章，特许状
cheat	v.欺骗;作弊 n.骗子;欺诈,欺骗行为
cheek	n.面颊,脸
cheer	v.(使)振奋,(使)高兴 v./n.喝彩,欢呼
chef	n.(餐馆等的)厨师长，厨师
cheque	n.(check)支票,空白支票;总收入
cherish	vt.抱有，怀有(希望等)；爱护，抚育；珍爱
chest	n.胸腔,胸膛;箱,柜
chill	n.寒冷,寒气,寒战 v.使寒冷
chimney	n.烟囱
chin	n.下巴,颏
choke	v.窒息,噎住;闷塞,堵塞,阻塞
chorus	n.合唱队;合唱 v.异口同声地说,随声附和
Christ	n.基督，救世主，耶稣
Christian	n.基督教徒 a.基督教徒的
circumference	n.圆周,周围
citizen	n.公民;市民,居民
clause	n.(正式文件或法律文件的)条款;从句,分句
claw	n.爪,脚爪
clay	n.粘土,泥土
clergy	n.[总称]牧师，神职人员
clerk	n.职员,办事员;店员
clinic	n.诊所
cloak	n.斗蓬，披风；掩饰，幌子vt.掩盖，掩饰
clumsy	a.笨拙的,愚笨的
coal	n.煤,煤块
coalition	n.结合体，同盟；结合，联合
coarse	a.粗糙的,粗劣的;粗鲁的,粗俗的
coast	n.海岸,海滨
coat	n.上衣，外套；表皮；层,覆盖物 v.涂(盖)上
coherent	a.一致的，协调的；(话语等)条理清楚的
cohesive	a.粘合性的，有结合力的
coil	v.卷,盘绕 n.(一)卷,(一)圈;线圈,绕组
coke	n.焦炭；可口可乐（COCA-COLA）的缩写
collar	n.衣领;环状物
collide	vi.[with]互撞，碰撞；冲突，抵触
colonel	n.(陆军)上校
colonial	a.殖民地的，关于殖民的 n.殖民地居民
colony	n.殖民地；侨民；聚居区；(动植物的)群体
comic	a.喜剧的，滑稽的n.连环漫画杂志；喜剧演员
commence	vt.开始 vi.获得学位
commend	v.称赞，表扬：委托保管；推荐
commerce	n.商业，贸易；交际，交往
commercial	a.商业的；商务的；可获利的 n.广告节目
commission	n.委员会;委任,委托(书),代办;佣金,手续费
commit	v.把…交托给,提交;犯(错误),干(坏事)
commonplace	a.普通的，平庸的n.寻常的事物，平庸的东西
commonwealth	n.共和国,联邦,共同体
communism	n.共产主义
compartment	n.卧车包房,(客车车厢内的)隔间;分隔的空间
compassion	n.同情；怜悯(for)
compatible	a.能和睦相处的,合得来的;兼容的
compensation	n.补偿(或赔偿)的款物；补偿，赔偿
complement	n.补足物，船上的定员；补语 vt.补充，补足
compliment	n.(pl.)问候,致意 n./v.称赞,恭维
comply	v.(with)遵照，照做，应允；顺从，服从
composite	a.混合成的，综合成的n.合成物，复合材料
composition	n.作品,作文,乐曲;作曲;结构,组成,成分
compound	n.混合物,化合物 a.混合的,化合的；vt.混合
comprehend	vt.理解，领会；包含，包括
compress	vt.压紧，压缩；(把思想、文字等)浓缩
comprise	vt.包含，包括，由...组成；构成，组成
compromise	n.妥协，折衷vi.妥协vt.危及，放弃(原则等)
compulsory	a.必须做的，强制性的，(课程)必修的
comrade	n.同志,同事,同伴,朋友
conceal	v.隐藏,隐瞒,隐蔽
concentrate	v.(on)集中,专心;浓缩 n.浓缩物
concentration	n.专心，专注；集中，集结；浓度
concise	a.简明的,简洁的
concrete	a.具体的,实质性的n.混凝土v.用混凝土修筑
condemn	v.谴责,指责;判刑,宣告有罪
condense	v.(使)冷凝，(使)凝结；浓缩，压缩，简缩
confer	v.商讨；授予，颁给(勋衔，学位等)
conference	n.(正式)会议；讨论，商谈
confess	v.供认，承认，坦白，忏悔
confine	vt.限制；使不外出，禁闭n.[pl.]界限，范围
conspicuous	a.显眼的,明显的
constitute	vt.组成，构成，形成；设立，建立，任命
constitution	n.构成,构造,组成(方式),成分;体格;宪法
contaminate	v.弄污,弄脏,毒害,传染,染污
contempt	n.轻视，藐视；受辱，丢脸
contend	v.竞争,斗争;坚决主张
continent	n.大陆,洲
contrary	a.(to)相反的,矛盾的 n.反对,矛盾;相反
contrast	n.对比，对照 vi.形成对比 vt.把…与…对比
convention	n.大会,会议;惯例,常规,习俗;公约,协定
conventional	a.惯例的,常规的
conversely	ad.相反地
conversion	n.转变，转换；信仰的改变；
cope	v.(with)竞争,对抗;(with)对付,妥善处理
copper	n.铜;铜币,铜制器
cord	n.绳,索
cordial	a.诚恳的,亲切的,热诚的
corridor	n.走廊,通路
corrode	v.(受)腐蚀,侵蚀
corrupt	v.贿赂,收买 a.腐败的,贪污的
cosy	a.暖和舒服的；舒适的 [反]uncomfortable
