a			 K
abandon			 K
abdomen			 U
abide			 N
ability			 K
able			 K
abnormal			 K
aboard			 K
abolish			 K
abound			 U
about			 K
above			 K
abroad			 K
abrupt			 K
absence			 K
absent			 K
absolute			 K
absorb			 N
abstract			 K
absurd			 N
abundance			 U
abundant			 U
abuse			 K
academic			 K
academy			 K
accelerate			 K
accent			 N
accept			 K
acceptance			 K
access			 K
accessory			 K
accident			 K
accidental			 N
acclaim			 N
accommodate			 K
accommodation			 K
accompany			 K
accomplish			 N
accord			 K
accordance			 K
according-to			 K
accordingly			 K
account			 K
accountant			 N
accumulate			 K
accuracy			 K
accurate			 K
accuse			 U
accustomed			 K
ache			 N
achieve			 K
acid			 K
acknowledge			 N
acquaint			 K
acquaintance			 K
acquire			 N
acquisition			 N
acre			 N
acrobat			 N
across			 N
act			 K
action			 K
activate			 N
active			 K
activity			 K
actor			 K
actress			 K
actual			 N
acute			 N
adapt			 K
add			 K
addict			 N
addition			 K
additional			 K
address			 K
adequate			 K
adhere			 N
adjacent			 K
adjective			 N
adjoin			 K
adjust			 K
administer			 K
administration			 N
admire			 K
admission			 U
admit			 K
adolescent			 K
adopt			 K
adore			 U
adult			 K
advance			 K
advanced			 N
advantage			 K
advent			 U
adventure			 U
adverb			 U
adverse			 U
advertise			 K
advice			 K
advisable			 U
advise			 N
advocate			 K
aerial			 U
aeroplane			 U
aesthetic			 U
affair			 U
affect			 K
affection			 K
affiliate			 N
affirm			 N
affluent			 K
afford			 K
afraid			 K
after			 K
afternoon			 K
afterward			 N
again			 K
against			 K
age			 K
agency			 K
agenda			 K
agent			 K
aggravate			 K
aggressive			 K
agitate			 U
ago			 K
agony			 U
agree			 K
agreeable			 N
agreement			 K
agriculture			 K
ahead			 K
Aid			 U
Aim			 U
Air			 K
air-conditioning			 K
aircraft			 K
airline			 K
airport			 K
Aisle			 U
alarm			 K
album			 K
alcohol			 K
Alert			 K
Alien			 K
Alike			 K
Alive			 U
All			 K
allege			 N
alleviate			 N
alliance			 N
allocate			 K
Allow			 K
allowance			 K
Alloy			 K
Ally			 K
almost			 K
alone			 K
along			 K
alongside			 K
aloud			 N
alphabet			 N
already			 K
Also			 K
Alter			 K
alternate			 N
alternative			 K
although			 N
altitude			 K
altogether			 U
aluminum			 K
always			 K
amateur			 K
amaze			 K
ambassador			 K
ambiguous			 K
ambition			 K
ambitious			 K
ambulance			 K
amend			 U
amiable			 U
Amid			 N
among			 N
amount			 K
ample			 U
amplifier			 K
amplify			 K
amuse			 K
analogue			 N
analogy			 N
analyse			 K
analysis			 K
analytic			 K
ancestor			 K
anchor			 K
ancient			 U
and			 K
anecdote			 U
angel			 K
anger			 K
angle			 K
angry			 K
anguish			 U
animal			 K
ankle			 K
anniversary			 K
announce			 K
annoy			 U
annual			 K
anonymous			 K
another			 K
answer			 K
ant			 K
antenna			 U
anticipate			 K
antique			 U
anxiety			 K
anxious			 K
any			 K
anybody			 K
anyhow			 K
anyone			 K
anything			 K
anyway			 K
anywhere			 K
apart			 N
apartment			 K
apologise			 K
apology			 K
appal			 U
apparatus			 N
apparent			 K
appeal			 K
appear			 K
appearance			 K
appendix			 N
appetite			 K
applaud			 N
applause			 N
apple			 K
appliance			 N
applicable			 N
application			 N
apply			 K
appoint			 K
appointment			 K
appraisal			 N
appreciate			 K
approach			 K
appropriate			 N
			 K
approval			 N
approve			 N
approximate			 K
April			 K
apt			 U
arbitrary			 N
arch			 K
architect			 K
architecture			 K
area			 K
argue			 K
argument			 K
arise			 K
arithmetic			 K
arm			 K
army			 K
around			 K
arouse			 K
arrange			 K
array			 K
arrest			 K
arrival			 K
arrive			 K
arrogant			 U
arrow			 K
art			 K
artery			 K
article			 K
articulate			 U
artificial			 U
artist			 K
artistic			 N
as			 K
ascend			 K
ascertain			 K
ash			 U
ashamed			 N
ashore			 U
aside			 K
ask			 K
asleep			 K
aspect			 K
aspire			 U
assassinate			 N
assault			 K
assemble			 K
assembly			 K
assert			 K
assess			 N
asset			 K
assign			 K
assignment			 K
assimilate			 U
assist			 U
assistance			 K
assistant			 K
associate			 K
association			 K
assume			 K
assumption			 K
assurance			 N
assure			 N
astonish			 K
astronaut			 K
astronomy			 N
at			 K
athlete			 K
atmosphere			 K
atom			 K
attach			 K
attack			 K
attain			 N
attempt			 K
attend			 K
attendance			 K
attendant			 K
attention			 K
attitude			 K
attorney			 K
attract			 K
attractive			 K
attribute			 K
auction			 N
audience			 K
audio			 K
audit			 U
auditorium			 U
augment			 K
August			 K
aunt			 K
aural			 U
authentic			 U
author			 K
authority			 K
auto			 K
automatic			 K
automation			 U
autonomy			 U
autumn			 K
auxiliary			 N
avail			 K
available			 K
avenue			 K
average			 K
avert			 U
aviation			 U
avoid			 K
await			 N
awake			 K
award			 U
aware			 U
away			 K
awe			 U
awful			 K
awkward			 U
axe			 K
axis			 N
baby			 K
bachelor			 K
back			 K
background			 K
backward			 K
bacon			 K
bacterium			 N
bad			 K
badge			 U
badly			 K
badminton			 K
bag			 K
baggage			 U
bait			 U
bake			 N
balance			 K
balcony			 U
bald			 U
ball			 K
ballet			 K
balloon			 K
ballot			 U
ban			 K
banana			 K
band			 K
bandage			 K
bang			 K
bank			 K
bankrupt			 K
banner			 K
banquet			 K
bar			 K
barbecue			 U
barber			 U
bare			 U
barely			 U
bargain			 K
bark			 K
barn			 K
barrel			 K
barren			 K
barrier			 K
base			 K
baseball			 K
basement			 K
basic			 K
basin			 U
basis			 K
basket			 K
basketball			 K
bat			 K
batch			 K
bath			 K
bathe			 K
bathroom			 K
battery			 K
battle			 K
bay			 K
be			 K
beach			 N
beam			 K
bean			 K
bear			 N
beard			 K
bearing			 U
beast			 K
beat			 K
beautiful			 K
beauty			 K
because			 K
become			 K
bed			 K
bee			 K
beef			 K
beer			 K
before			 K
beforehand			 K
beg			 K
begin			 K
beginning			 K
behalf			 K
behave			 U
behavior			 K
behind			 K
being			 K
belief			 K
believe			 K
bell			 K
belly			 K
belong			 K
beloved			 K
below			 K
belt			 U
bench			 K
bend			 K
beneath			 K
beneficial			 K
benefit			 K
benign			 K
beside			 K
besides			 U
best			 K
bet			 U
betray			 K
better			 K
between			 K
beverage			 K
beware			 K
bewilder			 N
beyond			 K
bias			 K
Bible			 K
bibliography			 K
bicycle			 K
bid			 K
big			 K
bill			 K
billion			 K
bin			 K
bind			 K
biography			 K
biology			 K
bird			 K
birth			 K
birthday			 K
biscuit			 U
bite			 K
bitter			 U
bizarre			 N
black			 K
blackboard			 K
blackmail			 K
blade			 K
			 K
blame			 U
blank			 K
blanket			 N
blast			 U
blaze			 K
bleak			 N
bleed			 K
blend			 K
bless			 N
blind			 K
block			 K
blood			 K
bloody			 K
bloom			 K
blossom			 K
blouse			 K
blow			 N
blue			 K
blueprint			 K
blunder			 U
blunt			 K
blur			 N
blush			 N
board			 N
boast			 K
boat			 K
body			 K
boil			 U
bold			 K
bolt			 K
bomb			 K
bond			 K
bone			 N
bonus			 K
book			 K
boom			 U
boost			 K
boot			 K
booth			 K
border			 K
bore			 K
born			 K
borrow			 K
bosom			 K
boss			 K
both			 K
bother			 N
bottle			 K
bottom			 K
bounce			 K
bound			 K
boundary			 K
bow			 K
bowel			 U
bowl			 U
bowling			 U
box			 K
boy			 K
boycott			 K
brace			 K
bracket			 U
brain			 K
brake			 N
branch			 K
brand			 K
brandy			 K
brass			 U
brave			 K
breach			 U
bread			 U
breadth			 K
break			 K
breakdown			 K
breakfast			 K
breast			 U
breath			 K
breathe			 K
breed			 U
breeze			 K
bribe			 U
brick			 K
bride			 U
bridge			 K
brief			 U
briefcase			 K
bright			 K
brilliant			 K
brim			 U
bring			 K
brisk			 U
brittle			 U
broad			 K
broadcast			 K
brochure			 U
bronze			 U
brook			 U
broom			 U
brother			 K
brow			 U
brown			 U
browse			 U
bruise			 U
brush			 K
brutal			 N
bubble			 K
bucket			 N
bud			 U
budget			 K
buffet			 U
bug			 K
build			 K
building			 K
bulb			 U
bulk			 U
bull			 U
bullet			 K
bulletin			 U
bully			 U
bump			 U
bunch			 K
bundle			 K
burden			 K
bureau			 K
bureaucracy			 K
burglar			 U
burn			 K
burst			 U
bury			 U
