a			 K K K
abandon			 K K K
abdomen			 U N N
abide			 N N N
ability			 K K K
able			 K K K
abnormal			 K K K
aboard			 K K K
abolish			 K K K
abound			 U U U
about			 K K K
above			 K K K
abroad			 K K K
abrupt			 K K K
absence			 K K K
absent			 K K K
absolute			 K K K
absorb			 N N N
abstract			 K K K
absurd			 N N N
abundance			 U K K
abundant			 U K K
abuse			 K K K
academic			 K K K
academy			 K K K
accelerate			 K K K
accent			 N N N
accept			 K K K
acceptance			 K K K
access			 K K K
accessory			 K K K
accident			 K K K
accidental			 N N N
acclaim			 N N N
accommodate			 K K K
accommodation			 K K K
accompany			 K K K
accomplish			 N N N
accord			 K K K
accordance			 K K K
according-to			 K K K
accordingly			 K K K
account			 K K K
accountant			 N N N
accumulate			 K K K
accuracy			 K K K
accurate			 K K K
accuse			 U K K
accustomed			 K K K
ache			 N N N
achieve			 K K K
acid			 K K K
acknowledge			 N N N
acquaint			 K K K
acquaintance			 K K K
acquire			 N N N
acquisition			 N N N
acre			 N N N
acrobat			 N N N
across			 N N N
act			 K K K
action			 K K K
activate			 N N N
active			 K K K
activity			 K K K
actor			 K K K
actress			 K K K
actual			 N N N
acute			 N N N
adapt			 K K K
add			 K K K
addict			 N N N
addition			 K K K
additional			 K K K
address			 K K K
adequate			 K K K
adhere			 N N N
adjacent			 K K K
adjective			 N N N
adjoin			 K K K
adjust			 K K K
administer			 K K K
administration			 N N N
admire			 K K K
admission			 U U U
admit			 K K K
adolescent			 K K K
adopt			 K K K
adore			 U U N
adult			 K K K
advance			 K K K
advanced			 N N N
advantage			 K K K
advent			 U K K
adventure			 U K K
adverb			 U U U
adverse			 U N N
advertise			 K K K
advice			 K K K
advisable			 U U N
advise			 N N N
advocate			 K K K
aerial			 U K K
aeroplane			 U U N
aesthetic			 U U N
affair			 U N N
affect			 K K K
affection			 K K K
affiliate			 N N N
affirm			 N N N
affluent			 K K K
afford			 K K K
afraid			 K K K
after			 K K K
afternoon			 K K K
afterward			 N N N
again			 K K K
against			 K K K
age			 K K K
agency			 K K K
agenda			 K K K
agent			 K K K
aggravate			 K K K
aggressive			 K K K
agitate			 U U U
ago			 K K K
agony			 U K K
agree			 K K K
agreeable			 N N N
agreement			 K K K
agriculture			 K K K
ahead			 K K K
Aid			 U K K
Aim			 U K K
Air			 K K K
air-conditioning			 K K K
aircraft			 K K K
airline			 K K K
airport			 K K K
Aisle			 U U U
alarm			 K K K
album			 K K K
alcohol			 K K K
Alert			 K K K
Alien			 K K K
Alike			 K K K
Alive			 U N N
All			 K K K
allege			 N N N
alleviate			 N N N
alliance			 N N N
allocate			 K K K
Allow			 K K K
allowance			 K K K
Alloy			 K K K
Ally			 K K K
almost			 K K K
alone			 K K K
along			 K K K
alongside			 K K K
aloud			 N N N
alphabet			 N N N
already			 K K K
Also			 K K K
Alter			 K K K
alternate			 N N N
alternative			 K K K
although			 N N N
altitude			 K K K
altogether			 U N N
aluminum			 K K K
always			 K K K
amateur			 K K K
amaze			 K K K
ambassador			 K K K
ambiguous			 K K K
ambition			 K K K
ambitious			 K K K
ambulance			 K K K
amend			 U U N
amiable			 U U N
Amid			 N N N
among			 N N N
amount			 K K K
ample			 U U N
amplifier			 K K K
amplify			 K K K
amuse			 K K K
analogue			 N N N
analogy			 N N N
analyse			 K K K
analysis			 K K K
analytic			 K K K
ancestor			 K K K
anchor			 K K K
ancient			 U N N
and			 K K K
anecdote			 U U N
angel			 K K K
anger			 K K K
angle			 K K K
angry			 K K K
anguish			 U N N
animal			 K K K
ankle			 K K K
anniversary			 K K K
announce			 K K K
annoy			 U U U
annual			 K K K
anonymous			 K K K
another			 K K K
answer			 K K K
ant			 K K K
antenna			 U U N
anticipate			 K K K
antique			 U U U
anxiety			 K K K
anxious			 K K K
any			 K K K
anybody			 K K K
anyhow			 K K K
anyone			 K K K
anything			 K K K
anyway			 K K K
anywhere			 K K K
apart			 N N N
apartment			 K K K
apologise			 K K K
apology			 K K K
appal			 U U U
apparatus			 N N N
apparent			 K K K
appeal			 K K K
appear			 K K K
appearance			 K K K
appendix			 N N N
appetite			 K K K
applaud			 N N N
applause			 N N N
apple			 K K K
appliance			 N N N
applicable			 N N N
application			 N N N
apply			 K K K
appoint			 K K K
appointment			 K K K
appraisal			 N N N
appreciate			 K K K
approach			 K K K
appropriate			 N N N
NULL			 K K K
approval			 N N N
approve			 N N N
approximate			 K K K
April			 K K K
apt			 U N N
arbitrary			 N N N
arch			 K K K
architect			 K K K
architecture			 K K K
area			 K K K
argue			 K K K
argument			 K K K
arise			 K K K
arithmetic			 K K K
arm			 K K K
army			 K K K
around			 K K K
arouse			 K K K
arrange			 K K K
array			 K K K
arrest			 K K K
arrival			 K K K
arrive			 K K K
arrogant			 U U N
arrow			 K K K
art			 K K K
artery			 K K K
article			 K K K
articulate			 U K K
artificial			 U U N
artist			 K K K
artistic			 N N N
as			 K K K
ascend			 K K K
ascertain			 K K K
ash			 U U U
ashamed			 N N N
ashore			 U U N
aside			 K K K
ask			 K K K
asleep			 K K K
aspect			 K K K
aspire			 U U U
assassinate			 N N N
assault			 K K K
assemble			 K K K
assembly			 K K K
assert			 K K K
assess			 N N N
asset			 K K K
assign			 K K K
assignment			 K K K
assimilate			 U U U
assist			 U K K
assistance			 K K K
assistant			 K K K
associate			 K K K
association			 K K K
assume			 K K K
assumption			 K K K
assurance			 N N N
assure			 N N N
astonish			 K K K
astronaut			 K K K
astronomy			 N N N
at			 K K K
athlete			 K K K
atmosphere			 K K K
atom			 K K K
attach			 K K K
attack			 K K K
attain			 N N N
attempt			 K K K
attend			 K K K
attendance			 K K K
attendant			 K K K
attention			 K K K
attitude			 K K K
attorney			 K K K
attract			 K K K
attractive			 K K K
attribute			 K K K
auction			 N N N
audience			 K K K
audio			 K K K
audit			 U N N
auditorium			 U U N
augment			 K K K
August			 K K K
aunt			 K K K
aural			 U U N
authentic			 U U N
author			 K K K
authority			 K K K
auto			 K K K
automatic			 K K K
automation			 U N N
autonomy			 U N N
autumn			 K K K
auxiliary			 N N N
avail			 K K K
available			 K K K
avenue			 K K K
average			 K K K
avert			 U U U
aviation			 U K K
avoid			 K K K
await			 N N N
awake			 K K K
award			 U N N
aware			 U K K
away			 K K K
awe			 U N N
awful			 K K K
awkward			 U N N
axe			 K K K
axis			 N N N
baby			 K K K
bachelor			 K K K
back			 K K K
background			 K K K
backward			 K K K
bacon			 K K K
bacterium			 N N N
bad			 K K K
badge			 U U N
badly			 K K K
badminton			 K K K
bag			 K K K
baggage			 U K K
bait			 U U N
bake			 N N N
balance			 K K K
balcony			 U U U
bald			 U U N
ball			 K K K
ballet			 K K K
balloon			 K K K
ballot			 U U N
ban			 K K K
banana			 K K K
band			 K K K
bandage			 K K K
bang			 K K K
bank			 K K K
bankrupt			 K K K
banner			 K K K
banquet			 K K K
bar			 K K K
barbecue			 U N N
barber			 U N N
bare			 U N N
barely			 U N N
bargain			 K K K
bark			 K K K
barn			 K K K
barrel			 K K K
barren			 K K K
barrier			 K K K
base			 K K K
baseball			 K K K
basement			 K K K
basic			 K K K
basin			 U U U
basis			 K K K
basket			 K K K
basketball			 K K K
bat			 K K K
batch			 K K K
bath			 K K K
bathe			 K K K
bathroom			 K K K
battery			 K K K
battle			 K K K
bay			 K K K
be			 K K K
