着手处理	tackle	approach
使合适	qualify
盘弄	paw
筑堤遏（水）	bay
以…为生	living
期望	desire	hope	expect
受痛苦	hurt	suffer
用环连接	link
（使）腐朽	rot
用刑拘折磨	rack
出现	appear	arise	emerge	figure	happen	occur	present
把…因素包括进去	factor
成扇形	fan
使烦乱	torment
（在某物的内部）形成一层	line
吐白沫	foam
俘获	capture	seize
（按时间、顺序等）接着	follow
（通过妥协）解决债务、主权等	compound
用扫帚扫	broom
洗牌作弊	stack
依法进行	prosecute
强要	tease
通便	relax
使…轻快	brisk
弄糟	blunder	butcher
彻底探讨	exhaust
腐蚀（人的思想或品德）	contaminate
秘密策划	hatch
赞同	approve	consent	agree
[法]使无效	avoid
使脱离常轨	deviate
包括或由…构成	contain
打手势要求[指示]	motion
疲劳	fatigue	tire
许可进入	admit
删剪	cut
连续击打（尤指发出大声）	hammer
不确定	doubt
悲哀	weep
剔去…的骨	bone
详细地检查	study
锤打	hammer
热情衰减	flag
慢跑	jog	jog
使赞成	sell
阵亡	fall
依靠机械力移动	purchase
把…装饰得有艺术价值	art
向…赠送	gift
租房	room
形成糖	sugar
轻挪	stroke
放出束状的光（或热）	beam
用力拉	strain	tug
使明显	evidence
变得轻快	brisk
力争	strive
歧视	discriminate
出卖	betray	sell
使消逝	dissolve
使（船）服役	commission
把…当作婴孩看待	baby
用纽扣扣紧	button
变小或减少	diminish
建立	build	erect	establish	found	institute
[法律]具结	recognize
接受劝告	advise
以呻吟声说出	moan
在拐角处转弯	elbow
希望	care	desire	hope	hope	will
分开	part	separate	share	split
织布	weave
靠动力行进	power
作民意调查	poll
下决定	resolve
尤指平静地吐露	breathe
把…装上船	ship
心怀	harbor
有权	qualify
使产生	entail	make
正式提出	tender
应允	comply
侵占	convert
前后摆动	hunt
使适用	season
正式批准	legitimate
怀有某种意图或目的	intend
存放	lodge	store
进军	march
（在数量和质量等方面）胜过	exceed
迷惑	fox	glamor
准许（做某事）	allow
shall的过去式	should
迅速增加	mushroom
证明…有理	justify
做木工活	carpenter
皱（眉）	knot
扣留	detain	hold	withhold
行贿	bribe
扔]	bang
宣判	condemn	doom	pronounce	sentence
分析	analyse	criticize
拍电报	wire	wire
使（固态物）溶解为液体	dissolve
祈求	petition	wish
把…弄成管状	tube
穿过	penetrate
气喘	heave	pant
回避（问题）	beg
巡视	scout
[地质]侵入其他地层	intrude
使跳动	pulse
相配	blend	corresponding
